step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
500,0.attn.c_attn.weight,4608,1536,3.0,1536,14,5.5030133937451573e-08,7.372639973958334e-09
1000,0.attn.c_attn.weight,4608,1536,3.0,1536,17,2.6542894004707843e-08,3.556073506673178e-09
1500,0.attn.c_attn.weight,4608,1536,3.0,1536,18,1.9203208003429858e-08,2.5727420383029516e-09
2000,0.attn.c_attn.weight,4608,1536,3.0,1536,14,2.1991597099386432e-08,2.946315341525608e-09
2500,0.attn.c_attn.weight,4608,1536,3.0,1536,17,1.4871440148755088e-08,1.9923951890733507e-09
3000,0.attn.c_attn.weight,4608,1536,3.0,1536,18,1.351595345399285e-08,1.810794406467014e-09
3500,0.attn.c_attn.weight,4608,1536,3.0,1536,15,1.338671636336142e-08,1.793479919433594e-09
4000,0.attn.c_attn.weight,4608,1536,3.0,1536,15,1.140339366772261e-08,1.527765062120226e-09
4500,0.attn.c_attn.weight,4608,1536,3.0,1536,15,1.112859480132735e-08,1.490948994954427e-09
5000,0.attn.c_attn.weight,4608,1536,3.0,1536,14,9.920093546730022e-09,1.3290405273437507e-09
5500,0.attn.c_attn.weight,4608,1536,3.0,1536,12,9.523017726775277e-09,1.2758424546983507e-09
6000,0.attn.c_attn.weight,4608,1536,3.0,1536,13,8.977469528281169e-09,1.2027528550889757e-09
6500,0.attn.c_attn.weight,4608,1536,3.0,1536,13,8.483647803026327e-09,1.1365932888454863e-09
7000,0.attn.c_attn.weight,4608,1536,3.0,1536,13,8.458559672580617e-09,1.133232116699219e-09
7500,0.attn.c_attn.weight,4608,1536,3.0,1536,12,8.920174945384346e-09,1.1950768364800348e-09
8000,0.attn.c_attn.weight,4608,1536,3.0,1536,10,8.267187540088684e-09,1.1075931125217013e-09
8500,0.attn.c_attn.weight,4608,1536,3.0,1536,12,9.671173735447735e-09,1.2956915961371526e-09
9000,0.attn.c_attn.weight,4608,1536,3.0,1536,10,7.56019579851203e-09,1.0128741794162326e-09
9500,0.attn.c_attn.weight,4608,1536,3.0,1536,9,7.846415617102622e-09,1.0512203640407986e-09
10000,0.attn.c_attn.weight,4608,1536,3.0,1536,10,7.62802549797685e-09,1.0219616360134549e-09
