step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
500,0.attn.c_attn.weight,4608,1536,3.0,1536,5,9.709407033863425e-08,1.3008138868543838e-08
1000,0.attn.c_attn.weight,4608,1536,3.0,1536,6,1.8976370808857668e-08,2.5423516167534714e-09
1500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,9.468380650760472e-09,1.2685224745008683e-09
2000,0.attn.c_attn.weight,4608,1536,3.0,1536,6,1.0731076063558942e-08,1.437691582573785e-09
2500,0.attn.c_attn.weight,4608,1536,3.0,1536,6,9.040205672888791e-09,1.211157904730903e-09
3000,0.attn.c_attn.weight,4608,1536,3.0,1536,7,4.109043468372375e-09,5.505074395073787e-10
3500,0.attn.c_attn.weight,4608,1536,3.0,1536,6,5.480348656479952e-09,7.342274983723958e-10
4000,0.attn.c_attn.weight,4608,1536,3.0,1536,6,5.534226444814182e-09,7.414457533094617e-10
4500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,4.899113936998755e-09,6.563568115234373e-10
5000,0.attn.c_attn.weight,4608,1536,3.0,1536,8,3.476999748265944e-09,4.658296373155383e-10
5500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.9004156658282764e-09,3.8858201768663186e-10
6000,0.attn.c_attn.weight,4608,1536,3.0,1536,10,3.357411938575168e-09,4.498079087999132e-10
6500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.8535612885393777e-09,3.823047214084201e-10
7000,0.attn.c_attn.weight,4608,1536,3.0,1536,8,2.579395161877934e-09,3.4557342529296874e-10
7500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.099272251860155e-09,2.812491522894965e-10
8000,0.attn.c_attn.weight,4608,1536,3.0,1536,8,3.6503641079335384e-08,4.890560574001737e-09
8500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.2773252129553095e-09,3.0510372585720485e-10
9000,0.attn.c_attn.weight,4608,1536,3.0,1536,9,2.5773387577430393e-09,3.452979193793402e-10
9500,0.attn.c_attn.weight,4608,1536,3.0,1536,8,1.8891710232473403e-09,2.531009250217013e-10
10000,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.486951886767763e-09,3.331883748372395e-10
10500,0.attn.c_attn.weight,4608,1536,3.0,1536,7,2.036789203146059e-09,2.7287801106770826e-10
11000,0.attn.c_attn.weight,4608,1536,3.0,1536,7,1.8923030849297188e-09,2.5352054172092015e-10
11500,0.attn.c_attn.weight,4608,1536,3.0,1536,6,2.422096064051868e-09,3.2449934217664945e-10
12000,0.attn.c_attn.weight,4608,1536,3.0,1536,6,1.906634639900597e-09,2.554406060112847e-10
12500,0.attn.c_attn.weight,4608,1536,3.0,1536,6,2.295136836462163e-09,3.0749003092447915e-10
